movie_id,budget (in Million),original_language,runtime,title,rating,keywords,genres,cast,director,producer,spoken_languages,production_companies,production_countries
2454,225,en,150.0,The Chronicles of Narnia: Prince Caspian,6.3,"Based On Novel,Fictional Place,Brother Sister Relationship,Lion,Human Being,Wretch,Leap In Time,Matter Of Life And Death,Faith,Uncle,Narnia,Fantasy World","Adventure,Family,Fantasy","Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley",Andrew Adamson,Mark Johnson,English,"Walt Disney,Walden Media","Czech Republic,Poland,Slovenia,United States Of America"
24428,220,en,143.0,The Avengers,7.5,"New York,Shield,Marvel Comic,Superhero,Based On Comic Book,Alien Invasion,Superhero Team,Aftercreditsstinger,Duringcreditsstinger,Marvel Cinematic Universe","Science Fiction,Action,Adventure","Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson",Joss Whedon,Kevin Feige,English,"Paramount Pictures,Marvel Studios",United States Of America
1865,380,en,136.0,Pirates of the Caribbean: On Stranger Tides,6.5,"Sea,Captain,Mutiny,Sword,Prime Minister,Sailing,Silver,Ship,Duke,Mermaid,Pirate,Soldier,Battle,Swashbuckler,Aftercreditsstinger,3D","Adventure,Action,Fantasy","Johnny Depp,Penélope Cruz,Ian Mcshane,Kevin Mcnally,Geoffrey Rush",Rob Marshall,Jerry Bruckheimer,"English,Español","Walt Disney Pictures,Jerry Bruckheimer Films",United States Of America
41154,225,en,106.0,Men in Black 3,6.2,"Time Travel,Time Machine,Alien,Fictional Government Agency,Seeing The Future,Changing History","Action,Comedy,Science Fiction","Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson",Barry Sonnenfeld,Walter F. Parkes,English,"Amblin Entertainment,Media Magik Entertainment",United States Of America
122917,250,en,144.0,The Hobbit: The Battle of the Five Armies,7.1,"Corruption,Elves,Dwarves,Orcs,Middle Earth (Tolkien),Hobbit,Dragon,Battle,Unlikely Friendship,Epic Battle,Sword And Sorcery","Action,Adventure,Fantasy","Martin Freeman,Ian Mckellen,Richard Armitage,Ken Stott,Graham Mctavish",Peter Jackson,Peter Jackson,English,"Wingnut Films,New Line Cinema","New Zealand,United States Of America"
1930,215,en,136.0,The Amazing Spider-Man,6.5,"Loss Of Father,Vigilante,Serum,Marvel Comic,Scientific Experiment,Spider Bite,Masked Vigilante,Reboot,Super Powers,Genetic Engineering,Social Outcast,Duringcreditsstinger","Action,Adventure,Fantasy","Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott",Marc Webb,Laura Ziskin,English,"Columbia Pictures,Laura Ziskin Productions",United States Of America
20662,200,en,140.0,Robin Hood,6.2,"Robin Hood,Archer,Knight,Sherwood Forest,Bow And Arrow,Middle Ages,Medieval,King Of England","Action,Adventure","Russell Crowe,Cate Blanchett,Max Von Sydow,William Hurt,Mark Strong",Ridley Scott,Brian Grazer,"English,ภาษาไทย","Imagine Entertainment,Universal Pictures","United Kingdom,United States Of America"
57158,250,en,161.0,The Hobbit: The Desolation of Smaug,7.6,"Elves,Dwarves,Orcs,Hobbit,Dragon,Wizard,Sword And Sorcery","Adventure,Fantasy","Martin Freeman,Ian Mckellen,Richard Armitage,Ken Stott,Graham Mctavish",Peter Jackson,Peter Jackson,English,"Wingnut Films,New Line Cinema","New Zealand,United States Of America"
2268,180,en,113.0,The Golden Compass,5.8,"England,Compass,Experiment,Lordship,Uncle,Polar Bear,Orphan,Animal,Based On Young Adult Novel","Adventure,Fantasy","Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green",Chris Weitz,Bill Carraro,"Íslenska,English,Pусский,Français","New Line Cinema,Ingenious Film Partners","United Kingdom,United States Of America"
254,207,en,187.0,King Kong,6.6,"Film Business,Screenplay,Show Business,Film Making,Film Producer,Exotic Island,Monster,Indigenous,Ship,Dinosaur","Adventure,Drama,Action","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks",Peter Jackson,Peter Jackson,English,"Wingnut Films,Universal Pictures","New Zealand,United States Of America,Germany"
597,200,en,194.0,Titanic,7.6,"Shipwreck,Iceberg,Ship,Panic,Titanic,Ocean Liner,Epic,Rich Woman   Poor Man,Love,Disaster,Tragic Love,Class Differences,Imax,Star Crossed Lovers,Steerage,Salvage,Rich Snob,3D,1910S","Drama,Romance,Thriller","Kate Winslet,Leonardo Dicaprio,Frances Fisher,Billy Zane,Kathy Bates",James Cameron,James Cameron,"English,Français,Deutsch,svenska,Italiano,Pусский","Paramount Pictures,Twentieth Century Fox Film Corporation",United States Of America
271110,250,en,147.0,Captain America: Civil War,7.2,"Civil War,War,Marvel Comic,Sequel,Superhero,Based On Comic Book,Imax,Aftercreditsstinger,Duringcreditsstinger,Marvel Cinematic Universe,3D","Adventure,Action,Science Fiction","Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie",Anthony Russo,Kevin Feige,"Română,English,Deutsch,Pусский","Studio Babelsberg,Marvel Studios",United States Of America
44833,209,en,131.0,Battleship,5.5,"Fight,U.S. Navy,Mind Reading,Hong Kong,Soccer,Scientist,Fictional War,Naval,Armada,Battleship,Naval Combat,Jds Myoko,Lost Communication,Taser,Buoy,Communications Expert,Joint Chiefs Of Staff,Crash Landing,Jet Fighter Pilot,Navy Lieutenant,Permission To Marry,Uss John Paul Jones,Based On Board Game,Aftercreditsstinger,Mighty Mo,Uss Missouri","Thriller,Action,Adventure,Science Fiction","Taylor Kitsch,Alexander Skarsgård,Rihanna,Brooklyn Decker,Tadanobu Asano",Peter Berg,Duncan Henderson,"English,ภาษาไทย","Universal Pictures,Hasbro",United States Of America
135397,150,en,124.0,Jurassic World,6.8,"Monster,Dna,Tyrannosaurus Rex,Velociraptor,Island,Sequel,Suspense,Disaster,Escape,Dinosaur,Amusement Park,Animal Attack,Theme Park,Jurassic Park,3D,Animal Horror","Action,Adventure,Science Fiction,Thriller","Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson",Colin Trevorrow,Frank Marshall,English,"Universal Studios,Amblin Entertainment",United States Of America
37724,200,en,143.0,Skyfall,7.0,"Spy,Secret Agent,Sociopath,Killer,Art Gallery,British Secret Service,Istanbul Turkey,Imax,Uzi,Booby Trap,Impersonating A Police Officer,Macao","Action,Adventure,Thriller","Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris",Sam Mendes,Barbara Broccoli,English,Columbia Pictures,"United Kingdom,United States Of America"
558,200,en,127.0,Spider-Man 2,6.7,"Dual Identity,Love Of One'S Life,Pizza Boy,Marvel Comic,Sequel,Superhero,Doctor,Scientist,Tentacle,Death,Super Villain","Action,Adventure,Fantasy","Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina,Rosemary Harris",Sam Raimi,Laura Ziskin,"English,Pусский,普通话","Columbia Pictures,Laura Ziskin Productions",United States Of America
68721,200,en,130.0,Iron Man 3,6.9,"Terrorist,War On Terror,Tennessee,Malibu,Marvel Comic,Superhero,Based On Comic Book,Tony Stark,Iron Man,Aftercreditsstinger,Marvel Cinematic Universe,Mandarin,3D,War Machine,Iron Patriot,Extremis","Action,Adventure,Science Fiction","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall",Shane Black,Kevin Feige,English,Marvel Studios,"China,United States Of America"
12155,200,en,108.0,Alice in Wonderland,6.4,"Based On Novel,Fictional Place,Queen,Fantasy,Alice In Wonderland,Fantasy World,3D","Family,Fantasy,Adventure","Mia Wasikowska,Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover",Tim Burton,Jennifer Todd,English,"Walt Disney Pictures,Team Todd",United States Of America
36668,210,en,104.0,X-Men: The Last Stand,6.3,"Mutant,Marvel Comic,Based On Comic Book,Superhuman,Beast,Cyclops,Aftercreditsstinger","Adventure,Action,Science Fiction,Thriller","Hugh Jackman,Halle Berry,Ian Mckellen,Patrick Stewart,Famke Janssen",Brett Ratner,Ralph Winter,English,"Ingenious Film Partners,Twentieth Century Fox Film Corporation","Canada,United Kingdom,United States Of America"
62211,200,en,104.0,Monsters University,7.0,"Monster,Dormitory,Games,Animation,Best Friend,University,Scary,Aftercreditsstinger","Animation,Family","Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Noah Johnston",Dan Scanlon,Kori Rae,English,"Walt Disney Pictures,Pixar Animation Studios",United States Of America
8373,150,en,150.0,Transformers: Revenge of the Fallen,6.0,"Egypt,Sun,Chaos,Symbol,Artifact,Transformers,Tank,Robot,Imax,Duringcreditsstinger","Science Fiction,Action,Adventure","Shia Labeouf,Megan Fox,Josh Duhamel,Rainn Wilson,Tyrese Gibson",Michael Bay,Don Murphy,"English,Español","Paramount Pictures,Dreamworks Skg",United States Of America
91314,210,en,165.0,Transformers: Age of Extinction,5.8,"Sequel,Alien,Transformers,Giant Robot,Robot,Imax,Transforming Robot","Science Fiction,Action,Adventure","Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Nicola Peltz,Jack Reynor",Michael Bay,Don Murphy,English,"Paramount Pictures,Amblin Entertainment",United States Of America
68728,200,en,130.0,Oz: The Great and Powerful,5.7,"Circus,Witch,Magic,Hope,Illusion,Lost,Magic Trick,Wizard,3D","Fantasy,Adventure,Family","James Franco,Mila Kunis,Rachel Weisz,Michelle Williams,Zach Braff",Sam Raimi,Joe Roth,English,"Walt Disney Pictures,Roth Films",United States Of America
102382,200,en,142.0,The Amazing Spider-Man 2,6.5,"Obsession,Marvel Comic,Sequel,Based On Comic Book,Electrocution,Medical Experiment,Electricity,Super Powers","Action,Adventure,Fantasy","Andrew Garfield,Emma Stone,Jamie Foxx,Dane Dehaan,Campbell Scott",Marc Webb,Avi Arad,English,"Columbia Pictures,Marvel Enterprises",United States Of America
20526,170,en,125.0,TRON: Legacy,6.3,"Artificial Intelligence,Secret Identity,Computer Program,Dystopia,Computer,Deception,Duel,Motorcycle,Neon Light,Autocracy","Adventure,Action,Science Fiction","Garrett Hedlund,Jeff Bridges,Olivia Wilde,Bruce Boxleitner,Yaya Dacosta",Joseph Kosinski,Steven Lisberger,English,"Walt Disney Pictures,Liveplanet",United States Of America
49013,200,en,106.0,Cars 2,5.8,"Car Race,Sequel,Comedy,Anthropomorphism,Best Friend,Duringcreditsstinger","Animation,Family,Adventure,Comedy","Owen Wilson,Larry The Cable Guy,Michael Caine,Emily Mortimer,John Turturro",John Lasseter,Denise Ream,"English,日本語,Italiano,Français","Walt Disney Pictures,Pixar Animation Studios",United States Of America
44912,200,en,114.0,Green Lantern,5.1,"Dc Comics,Transformation,Superhero,Alien,Alien Infection,Magical Object,Protector,Super Powers,Origin,3D","Adventure,Action,Thriller,Science Fiction","Ryan Reynolds,Blake Lively,Peter Sarsgaard,Tim Robbins,Mark Strong",Martin Campbell,Donald De Line,English,"De Line Pictures,Warner Bros.",United States Of America
10193,200,en,103.0,Toy Story 3,7.6,"Hostage,College,Toy,Barbie,Animation,Escape,Day Care,Teddy Bear,Duringcreditsstinger,Toy Comes To Life,Personification,Inanimate Objects Coming To Life,Toy Story","Animation,Family,Comedy","Tom Hanks,Tim Allen,Ned Beatty,Joan Cusack,Michael Keaton",Lee Unkrich,John Lasseter,"English,Español","Walt Disney Pictures,Pixar Animation Studios",United States Of America
534,200,en,115.0,Terminator Salvation,5.9,"Saving The World,Artificial Intelligence,Prophecy,San Francisco,Cyborg,Killer Robot,Gas Station,Post Apocalyptic,Dystopia,Army,Firearm,Wartime,Los Angeles","Action,Science Fiction,Thriller","Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,Bryce Dallas Howard",Mcg,Moritz Borman,"English,Italiano","Columbia Pictures,The Halcyon Company","Germany,Italy,United Kingdom,United States Of America"
168259,190,en,137.0,Furious 7,7.3,"Car Race,Speed,Revenge,Suspense,Car,Race,Muscle Car",Action,"Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Tyrese Gibson",James Wan,Michael Fottrell,English,"Universal Pictures,Original Film","Japan,United States Of America"
72190,200,en,116.0,World War Z,6.7,"Dystopia,Apocalypse,Zombie,Nuclear Weapons,Multiple Perspectives,Zombie Apocalypse","Action,Drama,Horror,Science Fiction,Thriller","Brad Pitt,Mireille Enos,Abigail Hargrove,Sterling Jerins,James Badge Dale",Marc Forster,Brad Pitt,English,"Paramount Pictures,Gk Films","United States Of America,Malta"
127585,250,en,131.0,X-Men: Days of Future Past,7.6,"1970S,Mutant,Time Travel,Marvel Comic,Based On Comic Book,Superhuman,Storm,Beast,Aftercreditsstinger,Changing The Past Or Future","Action,Adventure,Fantasy,Science Fiction","Hugh Jackman,James Mcavoy,Michael Fassbender,Jennifer Lawrence,Halle Berry",Bryan Singer,Lauren Shuler Donner,English,"Twentieth Century Fox Film Corporation,Donners' Company","United Kingdom,United States Of America"
54138,190,en,132.0,Star Trek Into Darkness,7.4,"Spacecraft,Friendship,Sequel,Futuristic,Space,Alien,Imax,Space Opera,Terrorist Bombing,3D","Action,Adventure,Science Fiction","Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,Simon Pegg",J.J. Abrams,J.J. Abrams,English,"Paramount Pictures,Skydance Productions",United States Of America
81005,195,en,114.0,Jack the Giant Slayer,5.5,"Based On Fairy Tale,Giant","Action,Family,Fantasy","Nicholas Hoult,Eleanor Tomlinson,Ewan Mcgregor,Stanley Tucci,Ian Mcshane",Bryan Singer,David Dobkin,English,"New Line Cinema,Original Film",United States Of America
64682,105,en,143.0,The Great Gatsby,7.3,"Based On Novel,Infidelity,Obsession,Hope,3D","Drama,Romance","Leonardo Dicaprio,Tobey Maguire,Carey Mulligan,Joel Edgerton,Elizabeth Debicki",Baz Luhrmann,Baz Luhrmann,English,"Village Roadshow Pictures,Bazmark Films","United States Of America,Australia"
9543,150,en,116.0,Prince of Persia: The Sands of Time,6.2,"Persia,Sandstorm,Brother Against Brother,Armageddon,Regent,Based On Video Game","Adventure,Fantasy,Action,Romance","Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint",Mike Newell,Jerry Bruckheimer,English,"Walt Disney Pictures,Jerry Bruckheimer Films",United States Of America
68726,180,en,131.0,Pacific Rim,6.7,"Dystopia,Giant Robot,Giant Monster,Apocalypse,Imax,Duringcreditsstinger,3D","Action,Science Fiction,Adventure","Idris Elba,Charlie Hunnam,Charlie Day,Ron Perlman,Burn Gorman",Guillermo Del Toro,Guillermo Del Toro,English,"Legendary Pictures,Warner Bros.","United States Of America,Canada"
38356,195,en,154.0,Transformers: Dark of the Moon,6.1,"Moon,Spacecraft,Traitor,Bodyguard,Alien Planet,Based On Cartoon,Transformers,Giant Robot,Sabotage,Word Domination,Commando,Duringcreditsstinger","Action,Science Fiction,Adventure","Shia Labeouf,John Malkovich,Ken Jeong,Frances Mcdormand,Josh Duhamel",Michael Bay,Don Murphy,English,"Paramount Pictures,Di Bonaventura Pictures",United States Of America
217,185,en,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,"Saving The World,Riddle,Whip,Treasure,Mexico City,Leather Jacket,Machinegun,Alien Phenomenons,Maya Civilization,Peru,Treasure Hunt,Nuclear Explosion,Refrigerator,Archaeologist,Indiana Jones,Archeology ","Adventure,Action","Harrison Ford,Cate Blanchett,Shia Labeouf,Ray Winstone,Karen Allen",Steven Spielberg,Frank Marshall,"English,Deutsch,Pусский","Lucasfilm,Paramount Pictures",United States Of America
105864,175,en,93.0,The Good Dinosaur,6.6,"Tyrannosaurus Rex,Friends,Alternate History,Dinosaur,Fear,Storm,Nature,Human,Journey","Adventure,Animation,Family","Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances Mcdormand,Maleah Nipay Padilla",Peter Sohn,John Lasseter,English,"Walt Disney Pictures,Pixar Animation Studios",United States Of America
62177,185,en,93.0,Brave,6.7,"Scotland,Rebel,Bravery,Kingdom,Archer,Wish,Bear,Scot,Rebellious Daughter,Turns Into Animal,Archery,Ruins,Aftercreditsstinger,Peace Offering,Woman Director,Courage,3D","Animation,Adventure,Comedy,Family,Action,Fantasy","Kelly Macdonald,Julie Walters,Billy Connolly,Emma Thompson,Kevin Mckidd",Brenda Chapman,Katherine Sarafian,English,"Walt Disney Pictures,Pixar Animation Studios",United States Of America
188927,185,en,122.0,Star Trek Beyond,6.6,"Sequel,Stranded,Hatred,Space Opera","Action,Adventure,Science Fiction","Chris Pine,Zachary Quinto,Karl Urban,Simon Pegg,Zoe Saldana",Justin Lin,J.J. Abrams,English,"Paramount Pictures,Bad Robot",United States Of America
10681,180,en,98.0,WALL·E,7.8,Romantic Comedy,"Animation,Family","Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,John Ratzenberger",Andrew Stanton,Jim Morris,English,"Walt Disney Pictures,Pixar Animation Studios",United States Of America
5174,140,en,91.0,Rush Hour 3,6.1,Ambassador,"Action,Comedy,Crime,Thriller","Chris Tucker,Jackie Chan,Hiroyuki Sanada,Max Von Sydow,Yvan Attal",Brett Ratner,Roger Birnbaum,"Latin,English,Français,日本語,普通话",New Line Cinema,United States Of America
14161,200,en,158.0,2012,5.6,"Civilization,Natural Disaster,End Of The World,Disaster,Apocalypse,Destruction,Volcanic Eruption,Mayan,Ark,Solar,Destruction  Of Mankind","Action,Adventure,Science Fiction","John Cusack,Amanda Peet,Chiwetel Ejiofor,Thandie Newton,Oliver Platt",Roland Emmerich,Larry J. Franco,"English,Français,हिन्दी,Italiano,Latin,普通话,Português,Pусский,","Columbia Pictures,Centropolis Entertainment","Canada,United States Of America"
17979,200,en,96.0,A Christmas Carol,6.6,"Holiday,Based On Novel,Victorian England,Money,Christmas Eve,Scrooge,Christmas Carol,Ghost,Lesson,Charles Dickens,Christmas","Animation,Drama","Gary Oldman,Jim Carrey,Steve Valentine,Daryl Sabara,Sage Ryan",Robert Zemeckis,,English,"Walt Disney,Imagemovers",United States Of America
76757,176,en,124.0,Jupiter Ascending,5.2,"Jupiter,Space,Woman Director,3D,Interspecies Romance","Science Fiction,Fantasy,Action,Adventure","Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth",Lilly Wachowski,Grant Hill,English,"Village Roadshow Pictures,Dune Entertainment",United States Of America
258489,180,en,109.0,The Legend of Tarzan,5.5,"Africa,Feral Child,Tarzan,Jungle,Animal Attack","Action,Adventure","Alexander Skarsgård,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou",David Yates,,English,"Village Roadshow Pictures,Dark Horse Entertainment","Canada,United Kingdom,United States Of America"
411,180,en,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,"Saving The World,Witch,Based On Novel,Brother Sister Relationship,Self Sacrifice,Winter,Cupboard,Beaver,Lion,Fairy Tale Figure,Battle,Narnia,Fantasy World,Duringcreditsstinger","Adventure,Family,Fantasy","William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Liam Neeson",Andrew Adamson,David Minkowski,"English,Deutsch","Walt Disney,Walden Media","United Kingdom,United States Of America"
246655,178,en,144.0,X-Men: Apocalypse,6.5,"Mutant,Supernatural Powers,Marvel Comic,Superhero,Based On Comic Book,Superhuman,Apocalypse,Superhero Team,World Domination,Aftercreditsstinger,1980S",Science Fiction,"James Mcavoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Oscar Isaac",Bryan Singer,Lauren Shuler Donner,English,"Twentieth Century Fox Film Corporation,Donners' Company",United States Of America
155,185,en,152.0,The Dark Knight,8.4,"Dc Comics,Crime Fighter,Secret Identity,Scarecrow,Sadism,Chaos,Gotham City,Vigilante,Joker,Superhero,Based On Comic Book,Tragic Hero,Organized Crime,Criminal Mastermind,District Attorney,Imax,Super Villain,Super Powers,Batman","Drama,Action,Crime,Thriller","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal",Christopher Nolan,Charles Roven,"English,普通话","Dc Comics,Legendary Pictures","United Kingdom,United States Of America"
14160,175,en,96.0,Up,7.8,"Age Difference,Central And South America,Balloon,Animation,Floating In The Air,Duringcreditsstinger,Exploring","Animation,Comedy,Family,Adventure","Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo",Pete Docter,Jonas Rivera,English,Pixar Animation Studios,United States Of America
15512,175,en,94.0,Monsters vs Aliens,6.0,"Alien,Giant Robot,Duringcreditsstinger","Animation,Family,Adventure,Science Fiction","Seth Rogen,Reese Witherspoon,Hugh Laurie,Paul Rudd,Kiefer Sutherland",Conrad Vernon,,English,Dreamworks Animation,United States Of America
1726,140,en,126.0,Iron Man,7.5,"Middle East,Arms Dealer,Malibu,Marvel Comic,Superhero,Based On Comic Book,Tony Stark,Iron Man,Aftercreditsstinger,Marvel Cinematic Universe,Counter Terrorism,Agent Coulson","Action,Science Fiction,Adventure","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Shaun Toub,Gwyneth Paltrow",Jon Favreau,Avi Arad,"English,فارسی,اردو,العربية",Marvel Studios,United States Of America
