,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
22,250,en,161.0,The Hobbit: The Desolation of Smaug,57158,dwarv bilbo gandalf success escap misti mountain bilbo gain one ring continu journey get gold back dragon smaug,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug,7.6,elves dwarves orcs hobbit dragon wizard sword-and-sorcery,adventure fantasy,martin-freeman ian-mckellen richard-armitage ken-stott graham-mctavish,peter-jackson,peter-jackson fran-walsh carolynne-cunningham zane-weiner,English,wingnut-films new-line-cinema,New-Zealand United-States-of-America,peter-jackson fran-walsh carolynne-cunningham zane-weiner
23,180,en,113.0,The Golden Compass,2268,overhear shock secret precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north unawar part destini,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny,5.8,england compass experiment lordship uncle polar-bear orphan animal based-on-young-adult-novel,adventure fantasy,dakota-blue-richards nicole-kidman daniel-craig sam-elliott eva-green,chris-weitz,bill-carraro deborah-forte,Íslenska English Pусский Français,new-line-cinema ingenious-film-partners,United-Kingdom United-States-of-America,bill-carraro deborah-forte chris-weitz
24,207,en,187.0,King Kong,254,1933 new york overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island encount kong giant ape immedi smitten lead ladi,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady,6.6,film-business screenplay show-business film-making film-producer exotic-island monster indigenous ship dinosaur,adventure drama action,naomi-watts jack-black adrien-brody thomas-kretschmann colin-hanks,peter-jackson,peter-jackson fran-walsh jan-blenkin carolynne-cunningham,English,wingnut-films universal-pictures,New-Zealand United-States-of-America Germany,peter-jackson fran-walsh jan-blenkin carolynne-cunningham
25,200,en,194.0,Titanic,597,84 year later 101yearold woman name rose dewitt bukat tell stori granddaught lizzi calvert brock lovett lewi bodin bobbi buell anatoli mikailavich keldysh life set april 10th 1912 ship call titan young rose board depart ship upperclass passeng mother ruth dewitt bukat fiancé caledon hockley meanwhil drifter artist name jack dawson best friend fabrizio de rossi win thirdclass ticket ship game explain whole stori departur death titan first last voyag april 15th 1912 220 morn,84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning,7.6,shipwreck iceberg ship panic titanic ocean-liner epic rich-woman---poor-man love disaster tragic-love class-differences imax star-crossed-lovers steerage salvage rich-snob 3d 1910s,drama romance thriller,kate-winslet leonardo-dicaprio frances-fisher billy-zane kathy-bates,james-cameron,james-cameron jon-landau,English Français Deutsch svenska Italiano Pусский,paramount-pictures twentieth-century-fox-film-corporation,United-States-of-America,james-cameron jon-landau
26,250,en,147.0,Captain America: Civil War,271110,follow event age ultron collect govern world pass act design regul superhuman activ polar opinion amongst aveng caus two faction side iron man captain america caus epic battl former alli,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,7.2,civil-war war marvel-comic sequel superhero based-on-comic-book imax aftercreditsstinger duringcreditsstinger marvel-cinematic-universe 3d,adventure action science-fiction,chris-evans robert-downey-jr. scarlett-johansson sebastian-stan anthony-mackie,anthony-russo,kevin-feige,Română English Deutsch Pусский,studio-babelsberg marvel-studios,United-States-of-America,kevin-feige anthony-russo
27,209,en,131.0,Battleship,44833,mankind beam radio signal space repli come planet g form sever alien craft splash water hawaii lieuten alex hopper weapon offic assign uss john paul jone part intern naval coalit becom world last hope surviv engag hostil alien forc unimagin strength take invad hopper must also tri live potenti brother fiancé father admir shane expect,when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiancées father admiral shane expect of him,5.5,fight u.s.-navy mind-reading hong-kong soccer scientist fictional-war naval armada battleship naval-combat jds-myoko lost-communication taser buoy communications-expert joint-chiefs-of-staff crash-landing jet-fighter-pilot navy-lieutenant permission-to-marry uss-john-paul-jones based-on-board-game aftercreditsstinger mighty-mo uss-missouri,thriller action adventure science-fiction,taylor-kitsch alexander-skarsgård rihanna brooklyn-decker tadanobu-asano,peter-berg,duncan-henderson scott-stuber brian-goldner peter-berg sarah-aubrey bennett-schneir,English ภาษาไทย,universal-pictures hasbro,United-States-of-America,duncan-henderson scott-stuber brian-goldner peter-berg sarah-aubrey bennett-schneir
28,150,en,124.0,Jurassic World,135397,twentytwo year event jurass park isla nublar featur fulli function dinosaur theme park jurass world origin envis john hammond,twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond,6.8,monster dna tyrannosaurus-rex velociraptor island sequel suspense disaster escape dinosaur amusement-park animal-attack theme-park jurassic-park 3d animal-horror,action adventure science-fiction thriller,chris-pratt bryce-dallas-howard irrfan-khan vincent-d'onofrio nick-robinson,colin-trevorrow,frank-marshall patrick-crowley,English,universal-studios amblin-entertainment,United-States-of-America,frank-marshall patrick-crowley colin-trevorrow
29,200,en,143.0,Skyfall,37724,bond latest assign goe grave wrong agent around world expos mi6 attack forc reloc agenc event caus author posit challeng gareth mallori new chairman intellig secur committe mi6 compromis insid left one alli trust bond 007 take shadow aid field agent eve follow trail mysteri silva whose lethal hidden motiv yet reveal,when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows  aided only by field agent eve  following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves,7.0,spy secret-agent sociopath killer art-gallery british-secret-service istanbul-turkey imax uzi booby-trap impersonating-a-police-officer macao,action adventure thriller,daniel-craig judi-dench javier-bardem ralph-fiennes naomie-harris,sam-mendes,barbara-broccoli michael-g.-wilson,English,columbia-pictures,United-Kingdom United-States-of-America,barbara-broccoli michael-g.-wilson sam-mendes
30,200,en,127.0,Spider-Man 2,558,peter parker go major ident crisi burn spiderman decid shelv superhero alter ego leav citi suffer wake carnag left evil doc ock meantim parker still cant act feel mari jane watson girl he love sinc childhood,peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood,6.7,dual-identity love-of-one's-life pizza-boy marvel-comic sequel superhero doctor scientist tentacle death super-villain,action adventure fantasy,tobey-maguire kirsten-dunst james-franco alfred-molina rosemary-harris,sam-raimi,laura-ziskin avi-arad lorne-orleans,English Pусский 普通话,columbia-pictures laura-ziskin-productions,United-States-of-America,laura-ziskin avi-arad lorne-orleans sam-raimi
31,200,en,130.0,Iron Man 3,68721,toni stark world torn apart formid terrorist call mandarin start odyssey rebuild retribut,when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,6.9,terrorist war-on-terror tennessee malibu marvel-comic superhero based-on-comic-book tony-stark iron-man aftercreditsstinger marvel-cinematic-universe mandarin 3d war-machine iron-patriot extremis,action adventure science-fiction,robert-downey-jr. gwyneth-paltrow don-cheadle guy-pearce rebecca-hall,shane-black,kevin-feige,English,marvel-studios,China United-States-of-America,kevin-feige shane-black
32,200,en,108.0,Alice in Wonderland,12155,alic unpretenti individu 19yearold betroth dunc english nobleman engag parti escap crowd consid whether go marriag fall hole garden spot unusu rabbit arriv strang surreal place call underland find world resembl nightmar child fill talk anim villain queen knight frumiou bandersnatch alic realiz reason conquer horrif jabberwocki restor right queen throne,alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason  to conquer the horrific jabberwocky and restore the rightful queen to her throne,6.4,based-on-novel fictional-place queen fantasy alice-in-wonderland fantasy-world 3d,family fantasy adventure,mia-wasikowska johnny-depp anne-hathaway helena-bonham-carter crispin-glover,tim-burton,jennifer-todd suzanne-todd richard-d.-zanuck katterli-frauenfelder joe-roth derek-frey tom-c.-peitzman,English,walt-disney-pictures team-todd,United-States-of-America,jennifer-todd suzanne-todd richard-d.-zanuck katterli-frauenfelder joe-roth derek-frey tom-c.-peitzman tim-burton
33,210,en,104.0,X-Men: The Last Stand,36668,cure found treat mutat line drawn amongst xmen brotherhood band power mutant organ xavier former alli magneto,when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto,6.3,mutant marvel-comic based-on-comic-book superhuman beast cyclops aftercreditsstinger,adventure action science-fiction thriller,hugh-jackman halle-berry ian-mckellen patrick-stewart famke-janssen,brett-ratner,ralph-winter lauren-shuler-donner avi-arad,English,ingenious-film-partners twentieth-century-fox-film-corporation,Canada United-Kingdom United-States-of-America,ralph-winter lauren-shuler-donner avi-arad brett-ratner
34,200,en,104.0,Monsters University,62211,look relationship mike sulley day monster univers werent necessarili best friend,a look at the relationship between mike and sulley during their days at monsters university  when they werent necessarily the best of friends,7.0,monster dormitory games animation best-friend university scary aftercreditsstinger,animation family,billy-crystal john-goodman steve-buscemi helen-mirren noah-johnston,dan-scanlon,kori-rae,English,walt-disney-pictures pixar-animation-studios,United-States-of-America,kori-rae dan-scanlon
