movie_id,title,tags
1452,Superman Returns,saving-the-world dc-comics invulnerability sequel superhero based-on-comic-book kryptonite super-powers superhuman-strength lex-luthor superman return discov 5year absenc allow lex luthor walk free closest felt abandon move luthor plot ultim reveng could see million kill chang face planet forev well rid man steel en adventure fantasy action science-fiction brandon-routh kevin-spacey kate-bosworth james-marsden parker-posey English Français Deutsch dc-comics legendary-pictures United-States-of-America jon-peters bryan-singer
10764,Quantum of Solace,killing undercover secret-agent british-secret-service quantum solac continu adventur jame bond casino royal betray vesper woman love 007 fight urg make latest mission person pursu determin uncov truth bond interrog mr white reveal organ blackmail vesper far complex danger anyon imagin en adventure action thriller crime daniel-craig olga-kurylenko mathieu-amalric judi-dench giancarlo-giannini English Español Italiano Français Deutsch eon-productions United-Kingdom United-States-of-America barbara-broccoli marc-forster
58,Pirates of the Caribbean: Dead Man's Chest,witch fortune-teller bondage exotic-island monster captain card-game east-india-trading-company compass ship daughter pirate swashbuckler aftercreditsstinger captain jack sparrow work way blood debt ghostli davey jone also attempt avoid etern damnat en adventure fantasy action johnny-depp orlando-bloom keira-knightley stellan-skarsgård bill-nighy English Türkçe ελληνικά 普通话 walt-disney-pictures jerry-bruckheimer-films Jamaica United-States-of-America Bahamas Dominica jerry-bruckheimer gore-verbinski
57201,The Lone Ranger,texas horse survivor texas-ranger partner outlaw escape lawyer train lone-ranger comanche the-lone-ranger tonto texa ranger chase gang outlaw led butch cavendish gang ambush ranger seemingli kill one survivor found howev american indian name tonto nurs back health ranger don mask ride white stallion name silver team tonto bring unscrupul gang other ilk justic en action adventure western johnny-depp armie-hammer william-fichtner helena-bonham-carter james-badge-dale English walt-disney-pictures jerry-bruckheimer-films United-States-of-America gore-verbinski
49521,Man of Steel,saving-the-world dc-comics superhero based-on-comic-book superhuman alien-invasion reboot super-powers dc-extended-universe young boy learn extraordinari power earth young man journey discov came sent hero must emerg save world annihil becom symbol hope mankind en action adventure fantasy science-fiction henry-cavill amy-adams michael-shannon kevin-costner diane-lane English legendary-pictures warner-bros. United-Kingdom United-States-of-America charles-roven zack-snyder
2454,The Chronicles of Narnia: Prince Caspian,based-on-novel fictional-place brother-sister-relationship lion human-being wretch leap-in-time matter-of-life-and-death faith uncle narnia fantasy-world one year incred adventur lion witch wardrob peter edmund luci susan pevensi return narnia aid young princ whose life threaten evil king miraz help color cast new charact includ trufflehunt badger nikabrik dwarf pevensi clan embark incred quest ensur narnia return right heir en adventure family fantasy ben-barnes william-moseley anna-popplewell skandar-keynes georgie-henley English walt-disney walden-media Czech-Republic Poland Slovenia United-States-of-America mark-johnson andrew-adamson
24428,The Avengers,new-york shield marvel-comic superhero based-on-comic-book alien-invasion superhero-team aftercreditsstinger duringcreditsstinger marvel-cinematic-universe unexpect enemi emerg threaten global safeti secur nick furi director intern peacekeep agenc known shield find need team pull world back brink disast span globe dare recruit effort begin en science-fiction action adventure robert-downey-jr. chris-evans mark-ruffalo chris-hemsworth scarlett-johansson English paramount-pictures marvel-studios United-States-of-America kevin-feige joss-whedon
1865,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime-minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d captain jack sparrow cross path woman past he sure love she ruthless con artist who use find fabl fountain youth forc aboard queen ann reveng ship formid pirat blackbeard jack find unexpect adventur doesnt know fear blackbeard woman past en adventure action fantasy johnny-depp penélope-cruz ian-mcshane kevin-mcnally geoffrey-rush English Español walt-disney-pictures jerry-bruckheimer-films United-States-of-America jerry-bruckheimer rob-marshall
41154,Men in Black 3,time-travel time-machine alien fictional-government-agency seeing-the-future changing-history agent j smith k tommi lee jone backin time j seen inexplic thing 15 year men black noth even alien perplex much wri retic partner ks life fate planet put stake agent j travel back time put thing right j discov secret univers k never told secret reveal team young agent k josh brolin save partner agenc futur humankind en action comedy science-fiction will-smith tommy-lee-jones josh-brolin michael-stuhlbarg emma-thompson English amblin-entertainment media-magik-entertainment United-States-of-America walter-f.-parkes barry-sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth-(tolkien) hobbit dragon battle unlikely-friendship epic-battle sword-and-sorcery immedi event desol smaug bilbo dwarv tri defend erebor mountain treasur other claim men ruin laketown elv mirkwood meanwhil armi orc led azog defil march erebor fuel rise dark lord sauron dwarv elv men must unit hope middleearth fall bilbo hand en action adventure fantasy martin-freeman ian-mckellen richard-armitage ken-stott graham-mctavish English wingnut-films new-line-cinema New-Zealand United-States-of-America peter-jackson
1930,The Amazing Spider-Man,loss-of-father vigilante serum marvel-comic scientific-experiment spider-bite masked-vigilante reboot super-powers genetic-engineering social-outcast duringcreditsstinger peter parker outcast high schooler abandon parent boy leav rais uncl ben aunt may like teenag peter tri figur got person today peter discov mysteri briefcas belong father begin quest understand parent disappear lead directli oscorp lab dr curt connor father former partner spiderman set collis cours connor alter ego lizard peter make lifealt choic use power shape destini becom hero en action adventure fantasy andrew-garfield emma-stone rhys-ifans denis-leary campbell-scott English columbia-pictures laura-ziskin-productions United-States-of-America laura-ziskin marc-webb
20662,Robin Hood,robin-hood archer knight sherwood-forest bow-and-arrow middle-ages medieval king-of-england soldier robin happen upon die robert loxley promis return man sword famili nottingham assum robert ident romanc widow marion draw ire town sheriff king john henchman godfrey en action adventure russell-crowe cate-blanchett max-von-sydow william-hurt mark-strong English ภาษาไทย imagine-entertainment universal-pictures United-Kingdom United-States-of-America brian-grazer ridley-scott
57158,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon wizard sword-and-sorcery dwarv bilbo gandalf success escap misti mountain bilbo gain one ring continu journey get gold back dragon smaug en adventure fantasy martin-freeman ian-mckellen richard-armitage ken-stott graham-mctavish English wingnut-films new-line-cinema New-Zealand United-States-of-America peter-jackson
2268,The Golden Compass,england compass experiment lordship uncle polar-bear orphan animal based-on-young-adult-novel overhear shock secret precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north unawar part destini en adventure fantasy dakota-blue-richards nicole-kidman daniel-craig sam-elliott eva-green Íslenska English Pусский Français new-line-cinema ingenious-film-partners United-Kingdom United-States-of-America bill-carraro chris-weitz
254,King Kong,film-business screenplay show-business film-making film-producer exotic-island monster indigenous ship dinosaur 1933 new york overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island encount kong giant ape immedi smitten lead ladi en adventure drama action naomi-watts jack-black adrien-brody thomas-kretschmann colin-hanks English wingnut-films universal-pictures New-Zealand United-States-of-America Germany peter-jackson
597,Titanic,shipwreck iceberg ship panic titanic ocean-liner epic rich-woman---poor-man love disaster tragic-love class-differences imax star-crossed-lovers steerage salvage rich-snob 3d 1910s 84 year later 101yearold woman name rose dewitt bukat tell stori granddaught lizzi calvert brock lovett lewi bodin bobbi buell anatoli mikailavich keldysh life set april 10th 1912 ship call titan young rose board depart ship upperclass passeng mother ruth dewitt bukat fiancé caledon hockley meanwhil drifter artist name jack dawson best friend fabrizio de rossi win thirdclass ticket ship game explain whole stori departur death titan first last voyag april 15th 1912 220 morn en drama romance thriller kate-winslet leonardo-dicaprio frances-fisher billy-zane kathy-bates English Français Deutsch svenska Italiano Pусский paramount-pictures twentieth-century-fox-film-corporation United-States-of-America james-cameron
271110,Captain America: Civil War,civil-war war marvel-comic sequel superhero based-on-comic-book imax aftercreditsstinger duringcreditsstinger marvel-cinematic-universe 3d follow event age ultron collect govern world pass act design regul superhuman activ polar opinion amongst aveng caus two faction side iron man captain america caus epic battl former alli en adventure action science-fiction chris-evans robert-downey-jr. scarlett-johansson sebastian-stan anthony-mackie Română English Deutsch Pусский studio-babelsberg marvel-studios United-States-of-America kevin-feige anthony-russo
44833,Battleship,fight u.s.-navy mind-reading hong-kong soccer scientist fictional-war naval armada battleship naval-combat jds-myoko lost-communication taser buoy communications-expert joint-chiefs-of-staff crash-landing jet-fighter-pilot navy-lieutenant permission-to-marry uss-john-paul-jones based-on-board-game aftercreditsstinger mighty-mo uss-missouri mankind beam radio signal space repli come planet g form sever alien craft splash water hawaii lieuten alex hopper weapon offic assign uss john paul jone part intern naval coalit becom world last hope surviv engag hostil alien forc unimagin strength take invad hopper must also tri live potenti brother fiancé father admir shane expect en thriller action adventure science-fiction taylor-kitsch alexander-skarsgård rihanna brooklyn-decker tadanobu-asano English ภาษาไทย universal-pictures hasbro United-States-of-America duncan-henderson peter-berg
135397,Jurassic World,monster dna tyrannosaurus-rex velociraptor island sequel suspense disaster escape dinosaur amusement-park animal-attack theme-park jurassic-park 3d animal-horror twentytwo year event jurass park isla nublar featur fulli function dinosaur theme park jurass world origin envis john hammond en action adventure science-fiction thriller chris-pratt bryce-dallas-howard irrfan-khan vincent-d'onofrio nick-robinson English universal-studios amblin-entertainment United-States-of-America frank-marshall colin-trevorrow
37724,Skyfall,spy secret-agent sociopath killer art-gallery british-secret-service istanbul-turkey imax uzi booby-trap impersonating-a-police-officer macao bond latest assign goe grave wrong agent around world expos mi6 attack forc reloc agenc event caus author posit challeng gareth mallori new chairman intellig secur committe mi6 compromis insid left one alli trust bond 007 take shadow aid field agent eve follow trail mysteri silva whose lethal hidden motiv yet reveal en action adventure thriller daniel-craig judi-dench javier-bardem ralph-fiennes naomie-harris English columbia-pictures United-Kingdom United-States-of-America barbara-broccoli sam-mendes
558,Spider-Man 2,dual-identity love-of-one's-life pizza-boy marvel-comic sequel superhero doctor scientist tentacle death super-villain peter parker go major ident crisi burn spiderman decid shelv superhero alter ego leav citi suffer wake carnag left evil doc ock meantim parker still cant act feel mari jane watson girl he love sinc childhood en action adventure fantasy tobey-maguire kirsten-dunst james-franco alfred-molina rosemary-harris English Pусский 普通话 columbia-pictures laura-ziskin-productions United-States-of-America laura-ziskin sam-raimi
68721,Iron Man 3,terrorist war-on-terror tennessee malibu marvel-comic superhero based-on-comic-book tony-stark iron-man aftercreditsstinger marvel-cinematic-universe mandarin 3d war-machine iron-patriot extremis toni stark world torn apart formid terrorist call mandarin start odyssey rebuild retribut en action adventure science-fiction robert-downey-jr. gwyneth-paltrow don-cheadle guy-pearce rebecca-hall English marvel-studios China United-States-of-America kevin-feige shane-black
12155,Alice in Wonderland,based-on-novel fictional-place queen fantasy alice-in-wonderland fantasy-world 3d alic unpretenti individu 19yearold betroth dunc english nobleman engag parti escap crowd consid whether go marriag fall hole garden spot unusu rabbit arriv strang surreal place call underland find world resembl nightmar child fill talk anim villain queen knight frumiou bandersnatch alic realiz reason conquer horrif jabberwocki restor right queen throne en family fantasy adventure mia-wasikowska johnny-depp anne-hathaway helena-bonham-carter crispin-glover English walt-disney-pictures team-todd United-States-of-America jennifer-todd tim-burton
36668,X-Men: The Last Stand,mutant marvel-comic based-on-comic-book superhuman beast cyclops aftercreditsstinger cure found treat mutat line drawn amongst xmen brotherhood band power mutant organ xavier former alli magneto en adventure action science-fiction thriller hugh-jackman halle-berry ian-mckellen patrick-stewart famke-janssen English ingenious-film-partners twentieth-century-fox-film-corporation Canada United-Kingdom United-States-of-America ralph-winter brett-ratner
62211,Monsters University,monster dormitory games animation best-friend university scary aftercreditsstinger look relationship mike sulley day monster univers werent necessarili best friend en animation family billy-crystal john-goodman steve-buscemi helen-mirren noah-johnston English walt-disney-pictures pixar-animation-studios United-States-of-America kori-rae dan-scanlon
8373,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger sam witwicki leav autobot behind normal life mind fill cryptic symbol decepticon target drag back transform war en science-fiction action adventure shia-labeouf megan-fox josh-duhamel rainn-wilson tyrese-gibson English Español paramount-pictures dreamworks-skg United-States-of-America don-murphy michael-bay
91314,Transformers: Age of Extinction,sequel alien transformers giant-robot robot imax transforming-robot human pick piec follow conclus transform dark moon autobot decepticon vanish face planet howev group power ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond control ancient power transform menac set earth crosshair en science-fiction action adventure mark-wahlberg stanley-tucci kelsey-grammer nicola-peltz jack-reynor English paramount-pictures amblin-entertainment United-States-of-America don-murphy michael-bay
68728,Oz: The Great and Powerful,circus witch magic hope illusion lost magic-trick wizard 3d oscar digg smalltim circu illusionist conartist whisk kansa land oz inhabit assum he great wizard propheci save oz clutch evil en fantasy adventure family james-franco mila-kunis rachel-weisz michelle-williams zach-braff English walt-disney-pictures roth-films United-States-of-America joe-roth sam-raimi
102382,The Amazing Spider-Man 2,obsession marvel-comic sequel based-on-comic-book electrocution medical-experiment electricity super-powers peter parker life busi take bad guy spiderman spend time person love gwen staci high school graduat cannot come quickli enough peter forgotten promis made gwen father protect stay away promis cannot keep thing chang peter new villain electro emerg old friend harri osborn return peter uncov new clue past en action adventure fantasy andrew-garfield emma-stone jamie-foxx dane-dehaan campbell-scott English columbia-pictures marvel-enterprises United-States-of-America avi-arad marc-webb
20526,TRON: Legacy,artificial-intelligence secret-identity computer-program dystopia computer deception duel motorcycle neon-light autocracy sam flynn techsavvi dare son kevin flynn investig father disappear pull grid help mysteri program name quorra sam quest stop evil dictat clu cross real world en adventure action science-fiction garrett-hedlund jeff-bridges olivia-wilde bruce-boxleitner yaya-dacosta English walt-disney-pictures liveplanet United-States-of-America steven-lisberger joseph-kosinski
49013,Cars 2,car-race sequel comedy anthropomorphism best-friend duringcreditsstinger star race car lightn mcqueen pal mater head oversea compet world grand prix race road championship becom rocki mater get caught intrigu adventur intern espionag en animation family adventure comedy owen-wilson larry-the-cable-guy michael-caine emily-mortimer john-turturro English 日本語 Italiano Français walt-disney-pictures pixar-animation-studios United-States-of-America denise-ream john-lasseter
44912,Green Lantern,dc-comics transformation superhero alien alien-infection magical-object protector super-powers origin 3d centuri small power forc warrior call green lantern corp sworn keep intergalact order green lantern wear ring grant superpow new enemi call parallax threaten destroy balanc power univers fate fate earth lie hand first human ever recruit en adventure action thriller science-fiction ryan-reynolds blake-lively peter-sarsgaard tim-robbins mark-strong English de-line-pictures warner-bros. United-States-of-America donald-de-line martin-campbell
10193,Toy Story 3,hostage college toy barbie animation escape day-care teddy-bear duringcreditsstinger toy-comes-to-life personification inanimate-objects-coming-to-life toy-story woodi buzz rest andi toy havent play year andi go colleg gang find accident left nefari day care center toy must band togeth escap return home andi en animation family comedy tom-hanks tim-allen ned-beatty joan-cusack michael-keaton English Español walt-disney-pictures pixar-animation-studios United-States-of-America john-lasseter lee-unkrich
534,Terminator Salvation,saving-the-world artificial-intelligence prophecy san-francisco cyborg killer-robot gas-station post-apocalyptic dystopia army firearm wartime los-angeles grown postapocalypt 2018 john connor must lead resist human increasingli domin militarist robot marcu wright appear exist confus mission connor tri determin whether wright come futur past whether he friend foe en action science-fiction thriller christian-bale sam-worthington anton-yelchin moon-bloodgood bryce-dallas-howard English Italiano columbia-pictures the-halcyon-company Germany Italy United-Kingdom United-States-of-America moritz-borman mcg
168259,Furious 7,car-race speed revenge suspense car race muscle-car deckard shaw seek reveng domin toretto famili comatos brother en action vin-diesel paul-walker dwayne-johnson michelle-rodriguez tyrese-gibson English universal-pictures original-film Japan United-States-of-America michael-fottrell james-wan
72190,World War Z,dystopia apocalypse zombie nuclear-weapons multiple-perspectives zombie-apocalypse life former unit nation investig gerri lane famili seem content suddenli world plagu mysteri infect turn whole human popul rampag mindless zombi bare escap chao lane persuad go mission investig diseas follow peril trek around world lane must brave horrif danger long odd find answer human civil fall en action drama horror science-fiction thriller brad-pitt mireille-enos abigail-hargrove sterling-jerins james-badge-dale English paramount-pictures gk-films United-States-of-America Malta brad-pitt marc-forster
127585,X-Men: Days of Future Past,1970s mutant time-travel marvel-comic based-on-comic-book superhuman storm beast aftercreditsstinger changing-the-past-or-future ultim xmen ensembl fight war surviv speci across two time period join forc younger selv epic battl must chang past save futur en action adventure fantasy science-fiction hugh-jackman james-mcavoy michael-fassbender jennifer-lawrence halle-berry English twentieth-century-fox-film-corporation donners'-company United-Kingdom United-States-of-America lauren-shuler-donner bryan-singer
54138,Star Trek Into Darkness,spacecraft friendship sequel futuristic space alien imax space-opera terrorist-bombing 3d crew enterpris call back home find unstopp forc terror within organ deton fleet everyth stand leav world state crisi person score settl captain kirk lead manhunt warzon world captur one man weapon mass destruct hero propel epic chess game life death love challeng friendship torn apart sacrific must made famili kirk left crew en action adventure science-fiction chris-pine zachary-quinto zoe-saldana karl-urban simon-pegg English paramount-pictures skydance-productions United-States-of-America j.j.-abrams
81005,Jack the Giant Slayer,based-on-fairy-tale giant stori ancient war reignit young farmhand unwittingli open gateway world fearsom race giant unleash earth first time centuri giant strive reclaim land lost forc young man jack battl life stop fight kingdom peopl love brave princess come face face unstopp warrior thought exist legendand get chanc becom legend en action family fantasy nicholas-hoult eleanor-tomlinson ewan-mcgregor stanley-tucci ian-mcshane English new-line-cinema original-film United-States-of-America david-dobkin bryan-singer
64682,The Great Gatsby,based-on-novel infidelity obsession hope 3d adapt f scott fitzgerald long islandset novel midwestern nick carraway lure lavish world neighbor jay gatsbi soon enough howev carraway see crack gatsbi nouveau rich exist obsess mad tragedi await en drama romance leonardo-dicaprio tobey-maguire carey-mulligan joel-edgerton elizabeth-debicki English village-roadshow-pictures bazmark-films United-States-of-America Australia baz-luhrmann
9543,Prince of Persia: The Sands of Time,persia sandstorm brother-against-brother armageddon regent based-on-video-game rogu princ reluctantli join forc mysteri princess togeth race dark forc safeguard ancient dagger capabl releas sand time gift god revers time allow possessor rule world en adventure fantasy action romance jake-gyllenhaal gemma-arterton ben-kingsley alfred-molina steve-toussaint English walt-disney-pictures jerry-bruckheimer-films United-States-of-America jerry-bruckheimer mike-newell
68726,Pacific Rim,dystopia giant-robot giant-monster apocalypse imax duringcreditsstinger 3d legion monstrou creatur known kaiju start rise sea war began would take million live consum human resourc year end combat giant kaiju special type weapon devis massiv robot call jaeger control simultan two pilot whose mind lock neural bridg even jaeger prove nearli defenseless face relentless kaiju verg defeat forc defend mankind choic turn two unlik heroesa washedup former pilot charli hunnam untest traine rinko kikuchiwho team drive legendari seemingli obsolet jaeger past togeth stand mankind last hope mount apocalyps en action science-fiction adventure idris-elba charlie-hunnam charlie-day ron-perlman burn-gorman English legendary-pictures warner-bros. United-States-of-America Canada guillermo-del-toro
38356,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alien-planet based-on-cartoon transformers giant-robot sabotage word-domination commando duringcreditsstinger sam witwicki take first tenuou step adulthood remain reluct human alli autobotlead optimu prime film center around space race ussr usa suggest hidden transform role remain one planet danger secret en action science-fiction adventure shia-labeouf john-malkovich ken-jeong frances-mcdormand josh-duhamel English paramount-pictures di-bonaventura-pictures United-States-of-America don-murphy michael-bay
217,Indiana Jones and the Kingdom of the Crystal Skull,saving-the-world riddle whip treasure mexico-city leather-jacket machinegun alien-phenomenons maya-civilization peru treasure-hunt nuclear-explosion refrigerator archaeologist indiana-jones archeology  set cold war soviet led swordwield irina spalko search crystal skull supernatur power relat mystic lost citi gold captur escap indi coerc head peru behest young man whose friend indi colleagu professor oxley captur knowledg skull whereabout en adventure action harrison-ford cate-blanchett shia-labeouf ray-winstone karen-allen English Deutsch Pусский lucasfilm paramount-pictures United-States-of-America frank-marshall steven-spielberg
105864,The Good Dinosaur,tyrannosaurus-rex friends alternate-history dinosaur fear storm nature human journey epic journey world dinosaur apatosauru name arlo make unlik human friend en adventure animation family raymond-ochoa jack-bright jeffrey-wright frances-mcdormand maleah-nipay-padilla English walt-disney-pictures pixar-animation-studios United-States-of-America john-lasseter peter-sohn
62177,Brave,scotland rebel bravery kingdom archer wish bear scot rebellious-daughter turns-into-animal archery ruins aftercreditsstinger peace-offering woman-director courage 3d brave set mystic scottish highland mérida princess kingdom rule king fergu queen elinor unruli daughter accomplish archer mérida one day defi sacr custom land inadvert bring turmoil kingdom attempt set thing right mérida seek eccentr old wise woman grant illfat wish also figur mérida quest serv comic relief kingdom three lord enorm lord macguffin surli lord macintosh disagre lord dingwal en animation adventure comedy family action fantasy kelly-macdonald julie-walters billy-connolly emma-thompson kevin-mckidd English walt-disney-pictures pixar-animation-studios United-States-of-America katherine-sarafian brenda-chapman
188927,Star Trek Beyond,sequel stranded hatred space-opera uss enterpris crew explor furthest reach unchart space encount mysteri new enemi put everyth feder stand test en action adventure science-fiction chris-pine zachary-quinto karl-urban simon-pegg zoe-saldana English paramount-pictures bad-robot United-States-of-America j.j.-abrams justin-lin
10681,WALL·E,romantic-comedy wall last robot left earth overrun garbag human fled outer space 700 year continu tri clean mess develop rather interest humanlik qualiti ship arriv sleek new type robot wall think he final found friend stow away ship leav en animation family ben-burtt elissa-knight jeff-garlin fred-willard john-ratzenberger English walt-disney-pictures pixar-animation-studios United-States-of-America jim-morris andrew-stanton
5174,Rush Hour 3,ambassador attempt assassin ambassador han inspector lee detect carter back action head pari protect french woman knowledg triad secret leader lee also hold secret meet unit nation author person struggl chines crimin mastermind name kenji reveal lee longlostbroth en action comedy crime thriller chris-tucker jackie-chan hiroyuki-sanada max-von-sydow yvan-attal Latin English Français 日本語 普通话 new-line-cinema United-States-of-America roger-birnbaum brett-ratner
14161,2012,civilization natural-disaster end-of-the-world disaster apocalypse destruction volcanic-eruption mayan ark solar destruction--of-mankind dr adrian helmsley part worldwid geophys team investig effect earth radiat unpreced solar storm learn earth core heat warn us presid thoma wilson crust earth becom unstabl without proper prepar save fraction world popul entir race doom meanwhil writer jackson curti stumbl inform world leader race build ark escap impend cataclysm curti struggl find way save famili meanwhil volcan erupt earthquak unpreced strength wreak havoc around world en action adventure science-fiction john-cusack amanda-peet chiwetel-ejiofor thandie-newton oliver-platt English Français हिन्दी Italiano Latin 普通话 Português Pусский  columbia-pictures centropolis-entertainment Canada United-States-of-America larry-j.-franco roland-emmerich
17979,A Christmas Carol,holiday based-on-novel victorian-england money christmas-eve scrooge christmas-carol ghost lesson charles-dickens christmas miser ebenez scroog awaken christma eve spirit reveal miser exist opportun wast youth current cruelti dire fate await chang way scroog face stori grow bitter mean must decid futur hold death redempt en animation drama gary-oldman jim-carrey steve-valentine daryl-sabara sage-ryan English walt-disney imagemovers United-States-of-America robert-zemeckis
76757,Jupiter Ascending,jupiter space woman-director 3d interspecies-romance univers human genet materi preciou commod impoverish young earth woman becom key strateg maneuv intern strife within power dynasti en science-fiction fantasy action adventure mila-kunis channing-tatum sean-bean eddie-redmayne douglas-booth English village-roadshow-pictures dune-entertainment United-States-of-America grant-hill lilly-wachowski
258489,The Legend of Tarzan,africa feral-child tarzan jungle animal-attack tarzan acclim life london call back former home jungl investig activ mine encamp en action adventure alexander-skarsgård margot-robbie christoph-waltz samuel-l.-jackson djimon-hounsou English village-roadshow-pictures dark-horse-entertainment Canada United-Kingdom United-States-of-America david-yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving-the-world witch based-on-novel brother-sister-relationship self-sacrifice winter cupboard beaver lion fairy-tale-figure battle narnia fantasy-world duringcreditsstinger sibl luci edmund susan peter step magic wardrob find land narnia discov charm peac kingdom plung etern winter evil white witch jadi aid wise magnific lion aslan children lead narnia spectacular climact battl free witch glacial power forev en adventure family fantasy william-moseley anna-popplewell skandar-keynes georgie-henley liam-neeson English Deutsch walt-disney walden-media United-Kingdom United-States-of-America david-minkowski andrew-adamson
